subjID	group	trial	reward	pumps	explosion
101	0	1	1	14	1
101	0	2	1	39	0
101	0	3	1	50	0
101	0	4	1	81	0
101	0	5	1	45	1
101	0	6	1	80	0
101	0	7	1	45	1
101	0	8	1	90	0
101	0	9	1	65	1
101	0	10	1	27	1
101	0	11	1	40	1
101	0	12	1	80	1
101	0	13	1	95	1
101	0	14	1	12	1
101	0	15	1	36	1
101	0	16	1	75	0
101	0	17	1	55	1
101	0	18	1	70	0
101	0	19	1	26	1
101	0	20	1	68	0
101	0	21	1	55	1
101	0	22	1	75	0
101	0	23	1	64	1
101	0	24	1	5	1
101	0	25	1	38	1
101	0	26	1	76	0
101	0	27	1	57	0
101	0	28	1	56	1
101	0	29	1	48	1
101	0	30	1	88	1
103	0	1	1	88	1
103	0	2	1	36	1
103	0	3	1	30	0
103	0	4	1	50	0
103	0	5	1	56	1
103	0	6	1	40	0
103	0	7	1	6	1
103	0	8	1	33	1
103	0	9	1	30	0
103	0	10	1	50	0
103	0	11	1	22	1
103	0	12	1	56	1
103	0	13	1	20	0
103	0	14	1	30	0
103	0	15	1	40	0
103	0	16	1	30	0
103	0	17	1	30	0
103	0	18	1	40	0
103	0	19	1	45	0
103	0	20	1	50	0
103	0	21	1	55	1
103	0	22	1	50	0
103	0	23	1	60	0
103	0	24	1	3	1
103	0	25	1	40	0
103	0	26	1	50	0
103	0	27	1	30	0
103	0	28	1	50	0
103	0	29	1	30	0
103	0	30	1	50	0
104	0	1	1	50	0
104	0	2	1	38	1
104	0	3	1	50	0
104	0	4	1	24	1
104	0	5	1	46	1
104	0	6	1	42	0
104	0	7	1	11	1
104	0	8	1	50	0
104	0	9	1	28	1
104	0	10	1	50	0
104	0	11	1	50	1
104	0	12	1	40	0
104	0	13	1	40	0
104	0	14	1	2	1
104	0	15	1	40	0
104	0	16	1	40	0
104	0	17	1	40	0
104	0	18	1	40	0
104	0	19	1	25	1
104	0	20	1	40	0
104	0	21	1	40	0
104	0	22	1	40	0
104	0	23	1	36	1
104	0	24	1	38	0
104	0	25	1	50	0
104	0	26	1	38	1
104	0	27	1	40	0
104	0	28	1	40	0
104	0	29	1	30	0
104	0	30	1	40	0
