"groupID" "subjID" "stage" "assessment_stage" "includes_gamble" "gamble_type" "block" "completed" "block_initial_points" "block_final_points" "trial_initial_points" "trial_final_points" "choice_latency" "n_left_colour_boxes" "token_box" "left_colour_chosen" "response_latency" "stake_index" "percentage_staked" "points_staked" "left_won" "subject_won"
"24100" 4 102 2 0 1 1 1 1 100 140 100 150 16114 8 3 1 3602 3 50 50 1 1
"24101" 4 102 2 0 1 1 1 1 100 140 150 225 7371 3 7 0 1634 3 50 75 0 1
"24102" 4 102 2 0 1 1 1 1 100 140 225 281 2698 8 2 1 1575 2 25 56 1 1
"24103" 4 102 2 0 1 1 1 1 100 140 281 140 1585 2 1 0 892 3 50 141 1 0
"24104" 4 102 3 1 1 1 1 1 100 485 100 195 2346 9 7 1 1113 5 95 95 1 1
"24105" 4 102 3 1 1 1 1 1 100 485 195 244 2225 4 8 0 1348 2 25 49 0 1
"24106" 4 102 3 1 1 1 1 1 100 485 244 305 1817 8 2 1 1793 2 25 61 1 1
"24107" 4 102 3 1 1 1 1 1 100 485 305 229 1248 2 1 0 754 2 25 76 1 0
"24108" 4 102 3 1 1 1 1 1 100 485 229 286 1571 7 6 1 1246 2 25 57 1 1
"24109" 4 102 3 1 1 1 1 1 100 485 286 272 2672 5 3 0 654 1 5 14 1 0
"24110" 4 102 3 1 1 1 1 1 100 485 272 340 1284 3 6 0 460 2 25 68 0 1
"24111" 4 102 3 1 1 1 1 1 100 485 340 323 1843 6 9 1 689 1 5 17 0 0
"24112" 4 102 3 1 1 1 1 1 100 485 323 485 1125 1 4 0 654 3 50 162 0 1
"24113" 4 102 3 1 1 1 2 1 100 535 100 150 3689 2 9 0 735 3 50 50 0 1
"24114" 4 102 3 1 1 1 2 1 100 535 150 158 2506 4 10 0 824 1 5 8 0 1
"24115" 4 102 3 1 1 1 2 1 100 535 158 118 1414 3 1 0 481 2 25 40 1 0
"24116" 4 102 3 1 1 1 2 1 100 535 118 207 1271 8 6 1 616 4 75 89 1 1
"24117" 4 102 3 1 1 1 2 1 100 535 207 217 2024 5 7 0 765 1 5 10 0 1
"24118" 4 102 3 1 1 1 2 1 100 535 217 163 1214 6 8 1 594 2 25 54 0 0
"24119" 4 102 3 1 1 1 2 1 100 535 163 285 1363 7 5 1 729 4 75 122 1 1
"24120" 4 102 3 1 1 1 2 1 100 535 285 428 1315 1 10 0 555 3 50 143 0 1
"24121" 4 102 3 1 1 1 2 1 100 535 428 535 1589 9 3 1 631 2 25 107 1 1
"24122" 4 102 3 1 1 1 3 1 100 499 100 150 1871 3 5 0 1060 3 50 50 0 1
"24123" 4 102 3 1 1 1 3 1 100 499 150 75 1374 8 9 1 739 3 50 75 0 0
"24124" 4 102 3 1 1 1 3 1 100 499 75 131 1628 2 4 0 837 4 75 56 0 1
"24125" 4 102 3 1 1 1 3 1 100 499 131 164 1755 6 3 1 1996 2 25 33 1 1
"24126" 4 102 3 1 1 1 3 1 100 499 164 205 2266 7 6 1 652 2 25 41 1 1
"24127" 4 102 3 1 1 1 3 1 100 499 205 154 1371 4 2 0 639 2 25 51 1 0
"24128" 4 102 3 1 1 1 3 1 100 499 154 300 1357 1 8 0 867 5 95 146 0 1
"24129" 4 102 3 1 1 1 3 1 100 499 300 285 3127 5 7 1 2096 1 5 15 0 0
"24130" 4 102 3 1 1 1 3 1 100 499 285 499 1314 9 5 1 881 4 75 214 1 1
"24131" 4 102 3 1 1 1 4 1 100 588 100 150 1821 8 7 1 852 3 50 50 1 1
"24132" 4 102 3 1 1 1 4 1 100 588 150 188 1473 3 10 0 785 2 25 38 0 1
"24133" 4 102 3 1 1 1 4 1 100 588 188 141 1889 7 9 1 1108 2 25 47 0 0
"24134" 4 102 3 1 1 1 4 1 100 588 141 275 1412 9 1 1 1063 5 95 134 1 1
"24135" 4 102 3 1 1 1 4 1 100 588 275 413 1562 2 3 0 1094 3 50 138 0 1
"24136" 4 102 3 1 1 1 4 1 100 588 413 620 1718 1 8 0 1427 3 50 207 0 1
"24137" 4 102 3 1 1 1 4 1 100 588 620 589 1844 5 4 0 841 1 5 31 1 0
"24138" 4 102 3 1 1 1 4 1 100 588 589 560 1526 4 2 0 843 1 5 29 1 0
"24139" 4 102 3 1 1 1 4 1 100 588 560 588 1520 6 3 1 1141 1 5 28 1 1
"24140" 4 102 4 0 1 0 1 1 100 26 100 175 11028 2 7 0 1452 2 75 75 0 1
"24141" 4 102 4 0 1 0 1 1 100 26 175 341 1732 3 7 0 1944 1 95 166 0 1
"24142" 4 102 4 0 1 0 1 1 100 26 341 512 1425 2 8 0 827 3 50 171 0 1
"24143" 4 102 4 0 1 0 1 1 100 26 512 26 1544 8 9 1 780 1 95 486 0 0
"24144" 4 102 5 1 1 0 1 1 100 1429 100 195 1486 1 3 0 1197 1 95 95 0 1
"24145" 4 102 5 1 1 0 1 1 100 1429 195 244 1729 6 5 1 581 4 25 49 1 1
"24146" 4 102 5 1 1 0 1 1 100 1429 244 476 1302 2 8 0 894 1 95 232 0 1
"24147" 4 102 5 1 1 0 1 1 100 1429 476 238 2128 8 9 1 729 3 50 238 0 0
"24148" 4 102 5 1 1 0 1 1 100 1429 238 464 1283 3 4 0 732 1 95 226 0 1
"24149" 4 102 5 1 1 0 1 1 100 1429 464 441 1662 5 7 1 942 5 5 23 0 0
"24150" 4 102 5 1 1 0 1 1 100 1429 441 772 1742 7 4 1 776 2 75 331 1 1
"24151" 4 102 5 1 1 0 1 1 100 1429 772 733 1544 4 1 0 949 5 5 39 1 0
"24152" 4 102 5 1 1 0 1 1 100 1429 733 1429 1517 9 6 1 819 1 95 696 1 1
"24153" 4 102 5 1 1 0 2 1 100 1654 100 195 1549 8 1 1 914 1 95 95 1 1
"24154" 4 102 5 1 1 0 2 1 100 1654 195 244 1667 6 2 1 466 4 25 49 1 1
"24155" 4 102 5 1 1 0 2 1 100 1654 244 122 2442 7 9 1 900 3 50 122 0 0
"24156" 4 102 5 1 1 0 2 1 100 1654 122 238 1214 2 10 0 882 1 95 116 0 1
"24157" 4 102 5 1 1 0 2 1 100 1654 238 298 2709 5 3 1 867 4 25 60 1 1
"24158" 4 102 5 1 1 0 2 1 100 1654 298 223 1631 4 2 0 880 4 25 75 1 0
"24159" 4 102 5 1 1 0 2 1 100 1654 223 435 1371 3 5 0 1359 1 95 212 0 1
"24160" 4 102 5 1 1 0 2 1 100 1654 435 848 1356 9 4 1 801 1 95 413 1 1
"24161" 4 102 5 1 1 0 2 1 100 1654 848 1654 1168 1 7 0 1006 1 95 806 0 1
"24162" 4 102 5 1 1 0 3 1 100 31 100 195 1908 7 5 1 1295 1 95 95 1 1
"24163" 4 102 5 1 1 0 3 1 100 31 195 10 1310 2 1 0 693 1 95 185 1 0
"24164" 4 102 5 1 1 0 3 1 100 31 10 20 1337 8 6 1 735 1 95 10 1 1
"24165" 4 102 5 1 1 0 3 1 100 31 20 39 1346 4 7 0 919 1 95 19 0 1
"24166" 4 102 5 1 1 0 3 1 100 31 39 76 1105 3 10 0 666 1 95 37 0 1
"24167" 4 102 5 1 1 0 3 1 100 31 76 4 1312 6 8 1 655 1 95 72 0 0
"24168" 4 102 5 1 1 0 3 1 100 31 4 8 1261 9 2 1 958 1 95 4 1 1
"24169" 4 102 5 1 1 0 3 1 100 31 8 16 1374 5 3 1 466 1 95 8 1 1
"24170" 4 102 5 1 1 0 3 1 100 31 16 31 1137 1 10 0 576 1 95 15 0 1
"24171" 4 102 5 1 1 0 4 1 100 749 100 195 1788 2 3 0 669 1 95 95 0 1
"24172" 4 102 5 1 1 0 4 1 100 749 195 341 1114 7 4 1 787 2 75 146 1 1
"24173" 4 102 5 1 1 0 4 1 100 749 341 170 1211 3 1 0 1672 3 50 171 1 0
"24174" 4 102 5 1 1 0 4 1 100 749 170 332 1189 1 9 0 530 1 95 162 0 1
"24175" 4 102 5 1 1 0 4 1 100 749 332 647 1022 8 7 1 691 1 95 315 1 1
"24176" 4 102 5 1 1 0 4 1 100 749 647 1262 1135 9 2 1 647 1 95 615 1 1
"24177" 4 102 5 1 1 0 4 1 100 749 1262 1199 1525 5 6 1 747 5 5 63 0 0
"24178" 4 102 5 1 1 0 4 1 100 749 1199 599 1212 6 8 1 857 3 50 600 0 0
"24179" 4 102 5 1 1 0 4 1 100 749 599 749 1069 4 7 0 864 4 25 150 0 1
"24180" 4 110 2 0 1 1 1 1 100 268 100 150 12113 8 3 1 838 3 50 50 1 1
"24181" 4 110 2 0 1 1 1 1 100 268 150 188 10723 3 7 0 795 2 25 38 0 1
"24182" 4 110 2 0 1 1 1 1 100 268 188 282 2554 8 2 1 743 3 50 94 1 1
"24183" 4 110 2 0 1 1 1 1 100 268 282 268 3184 2 1 0 1438 1 5 14 1 0
"24184" 4 110 3 1 1 1 1 1 100 480 100 150 3670 9 7 1 2124 3 50 50 1 1
"24185" 4 110 3 1 1 1 1 1 100 480 150 188 3301 4 8 0 2021 2 25 38 0 1
"24186" 4 110 3 1 1 1 1 1 100 480 188 235 1802 8 2 1 2546 2 25 47 1 1
"24187" 4 110 3 1 1 1 1 1 100 480 235 223 1350 2 1 0 1028 1 5 12 1 0
"24188" 4 110 3 1 1 1 1 1 100 480 223 279 1512 7 6 1 558 2 25 56 1 1
"24189" 4 110 3 1 1 1 1 1 100 480 279 293 2832 5 3 1 535 1 5 14 1 1
"24190" 4 110 3 1 1 1 1 1 100 480 293 366 1930 3 6 0 364 2 25 73 0 1
"24191" 4 110 3 1 1 1 1 1 100 480 366 384 2136 6 9 0 536 1 5 18 0 1
"24192" 4 110 3 1 1 1 1 1 100 480 384 480 1795 1 4 0 364 2 25 96 0 1
"24193" 4 110 3 1 1 1 2 1 100 383 100 175 1671 2 9 0 637 4 75 75 0 1
"24194" 4 110 3 1 1 1 2 1 100 383 175 184 1316 4 10 0 523 1 5 9 0 1
"24195" 4 110 3 1 1 1 2 1 100 383 184 138 1583 3 1 0 730 2 25 46 1 0
"24196" 4 110 3 1 1 1 2 1 100 383 138 207 1076 8 6 1 391 3 50 69 1 1
"24197" 4 110 3 1 1 1 2 1 100 383 207 217 2922 5 7 0 484 1 5 10 0 1
"24198" 4 110 3 1 1 1 2 1 100 383 217 163 1747 6 8 1 389 2 25 54 0 0
"24199" 4 110 3 1 1 1 2 1 100 383 163 245 1496 7 5 1 391 3 50 82 1 1
"24200" 4 110 3 1 1 1 2 1 100 383 245 306 1433 1 10 0 1211 2 25 61 0 1
"24201" 4 110 3 1 1 1 2 1 100 383 306 383 1294 9 3 1 574 2 25 77 1 1
"24202" 4 110 3 1 1 1 3 1 100 385 100 150 1910 3 5 0 593 3 50 50 0 1
