subjID	trial_number	gamble_cha	RT	cert	gain	loss	type_cha	trial_payoff	outcome	happy	RT_happy	gamble	type
1	1	safe	1935	40	0	88	loss	0	-40	0	689	0	-1
1	2	safe	5581	0	103	198	mixed	0	0	0	689	0	0
1	3	safe	5871	56	0	116	loss	0	-56	0	689	0	-1
1	4	safe	3932	0	61	124	mixed	0	0	-1	3353	0	0
1	5	risky	3838	0	60	48	mixed	0	60	-1	3353	1	0
1	6	risky	1228	0	304	302	mixed	0	-302	-1	3353	1	0
1	7	safe	2443	76	0	255	loss	0	-76	-1	1064	0	-1
1	8	safe	1024	96	197	0	gain	0	96	-1	1064	0	1
1	9	safe	1107	60	190	0	gain	0	60	1	692	0	1
1	10	safe	1546	80	254	0	gain	0	80	1	692	0	1
1	11	safe	3902	37	0	70	loss	0	-37	1	944	0	-1
1	12	risky	1349	0	158	79	mixed	0	158	1	944	1	0
1	13	safe	794	116	0	598	loss	0	-116	2	811	0	-1
1	14	safe	1330	60	0	144	loss	0	-60	2	811	0	-1
1	15	risky	1210	81	228	0	gain	0	0	0	411	1	1
1	16	risky	1138	0	303	247	mixed	0	303	0	411	1	0
1	17	risky	996	81	148	0	gain	0	0	1	600	1	1
1	18	risky	3145	0	101	50	mixed	0	-50	1	600	1	0
1	19	risky	138	82	335	0	gain	0	0	1	600	1	1
1	20	risky	3909	104	0	182	loss	0	0	-1	1103	1	-1
1	21	safe	1575	0	301	449	mixed	0	0	-1	1103	0	0
1	22	safe	2616	36	74	0	gain	0	36	1	756	0	1
1	23	risky	2635	59	0	106	loss	0	0	1	756	1	-1
1	24	risky	3355	0	102	41	mixed	0	-41	1	756	1	0
1	25	safe	1038	101	0	419	loss	0	-101	-1	955	0	-1
1	26	safe	893	83	0	284	loss	0	-83	-1	955	0	-1
1	27	risky	636	39	197	0	gain	0	197	-1	955	1	1
1	28	safe	139	100	0	503	loss	0	-100	1	629	0	-1
1	29	risky	333	103	357	0	gain	0	0	1	629	1	1
1	30	safe	636	117	220	0	gain	0	117	-1	611	0	1
1	31	risky	1001	64	0	101	loss	0	0	-1	611	1	-1
1	32	safe	2614	99	182	0	gain	0	99	1	503	0	1
1	33	safe	596	97	0	281	loss	0	-97	1	503	0	-1
1	34	risky	96	77	401	0	gain	0	0	0	589	1	1
