subjID	trial_number	RT	prob	reward_var	reward_fix	outcome	types	ambig	choice
1	1	2579	0.5	342	50	0	ambiguous	0.75	0
1	2	1736	0.375	91	50	0	low	0	1
1	3	1006	0.5	342	50	342	ambiguous	0.5	1
1	4	1374	0.375	183	50	0	low	0	1
1	5	1119	0.25	648	50	648	low	0	1
1	6	1147	0.375	648	50	0	low	0	1
1	7	1034	0.375	99	50	99	low	0	1
1	8	953	0.375	98	50	98	low	0	1
1	9	1114	0.5	54	50	50	ambiguous	0.5	0
1	10	3243	0.5	99	50	50	ambiguous	0.5	0
1	11	2955	0.5	340	50	50	ambiguous	0.75	0
1	12	1105	0.5	91	50	50	ambiguous	0.5	0
1	13	920	0.375	342	50	0	low	0	1
1	14	242	0.125	98	50	0	low	0	0
1	15	1665	0.25	181	50	0	low	0	0
1	16	801	0.5	183	50	183	ambiguous	0.25	1
1	17	793	0.5	183	50	0	ambiguous	0.75	0
1	18	816	0.5	46	50	0	ambiguous	0.5	0
1	19	1009	0.375	340	50	0	low	0	1
1	20	191	0.25	46	50	50	low	0	0
1	21	64	0.25	342	50	0	low	0	0
1	22	807	0.125	648	50	0	low	0	1
1	23	1047	0.25	98	50	50	low	0	0
1	24	401	0.125	91	50	0	low	0	0
1	25	1009	0.125	342	50	50	low	0	0
1	26	707	0.5	99	50	0	ambiguous	0.25	1
1	27	516	0.5	181	50	181	ambiguous	0.25	1
1	28	66	0.375	48	50	0	low	0	0
1	29	2206	0.5	340	50	0	ambiguous	0.5	0
1	30	826	0.5	343	50	343	ambiguous	0.5	1
1	31	391	0.125	343	50	50	low	0	0
1	32	293	0.25	54	50	0	low	0	0
1	33	310	0.5	648	50	648	ambiguous	0.5	1
1	34	923	0.375	648	50	0	low	0	1
1	35	744	0.5	48	50	0	ambiguous	0.25	0
1	36	278	0.5	48	50	0	ambiguous	0.75	0
1	37	450	0.375	46	50	0	low	0	0
1	38	267	0.5	654	50	0	ambiguous	0.5	1
1	39	169	0.5	54	50	50	ambiguous	0.25	0
1	40	179	0.5	46	50	0	ambiguous	0.75	0
1	41	142	0.5	648	50	0	ambiguous	0.25	1
1	42	863	0.5	648	50	0	ambiguous	0.75	0
1	43	75	0.25	183	50	0	low	0	0
1	44	183	0.25	91	50	0	low	0	0
1	45	84	0.125	181	50	50	low	0	0
1	46	2191	0.375	343	50	0	low	0	1
1	47	269	0.125	648	50	0	low	0	0
1	48	396	0.125	99	50	50	low	0	0
1	49	137	0.5	654	50	0	ambiguous	0.25	1
1	50	124	0.5	342	50	0	ambiguous	0.25	1
1	51	1926	0.5	91	50	50	ambiguous	0.75	0
1	52	96	0.125	183	50	50	low	0	0
1	53	59	0.5	98	50	0	ambiguous	0.75	0
1	54	342	0.125	340	50	0	low	0	0
1	55	157	0.375	54	50	50	low	0	0
1	56	122	0.5	183	50	0	ambiguous	0.75	0
1	57	29	0.125	48	50	50	low	0	0
1	58	985	0.375	183	50	0	low	0	1
1	59	142	0.5	183	50	183	ambiguous	0.25	1
1	60	246	0.125	54	50	50	low	0	0
1	61	254	0.5	99	50	50	ambiguous	0.75	0
1	62	107	0.5	648	50	648	ambiguous	0.25	1
1	63	86	0.5	343	50	0	ambiguous	0.25	1
1	64	50	0.25	48	50	50	low	0	0
1	65	1507	0.125	183	50	50	low	0	0
1	66	247	0.25	99	50	50	low	0	0
1	67	21	0.5	98	50	98	ambiguous	0.25	1
1	68	276	0.5	183	50	0	ambiguous	0.5	0
1	69	1697	0.25	343	50	0	low	0	0
1	70	208	0.5	648	50	648	ambiguous	0.5	1
1	71	874	0.5	183	50	50	ambiguous	0.5	0
1	72	4451	0.25	654	50	50	low	0	0
1	73	255	0.5	181	50	0	ambiguous	0.75	0
1	74	220	0.5	654	50	50	ambiguous	0.75	0
1	75	2058	0.5	46	50	0	ambiguous	0.25	0
1	76	198	0.125	46	50	50	low	0	0
1	77	293	0.5	91	50	91	ambiguous	0.25	1
1	78	133	0.5	54	50	50	ambiguous	0.75	0
1	79	281	0.375	181	50	181	low	0	1
1	80	63	0.5	48	50	0	ambiguous	0.5	0
1	81	1945	0.5	181	50	181	ambiguous	0.5	1
1	82	238	0.25	183	50	50	low	0	0
1	83	210	0.25	340	50	0	low	0	0
1	84	3110	0.5	648	50	648	ambiguous	0.75	1
1	85	660	0.5	343	50	0	ambiguous	0.75	0
1	86	13	0.5	98	50	0	ambiguous	0.5	0
1	87	744	0.375	654	50	0	low	0	1
1	88	3835	0.125	654	50	0	low	0	0
1	89	72	0.25	648	50	0	low	0	1
1	90	90	0.5	340	50	340	ambiguous	0.25	1
2	1	857	0.375	647	50	0	low	0	1
2	2	437	0.5	99	50	0	ambiguous	0.75	0
2	3	289	0.5	96	50	0	ambiguous	0.25	1
2	4	514	0.5	184	50	184	ambiguous	0.75	1
2	5	233	0.5	336	50	336	ambiguous	0.25	1
2	6	321	0.375	180	50	0	low	0	1
2	7	266	0.5	47	50	50	ambiguous	0.75	0
2	8	288	0.375	181	50	0	low	0	0
2	9	480	0.25	647	50	50	low	0	0
2	10	330	0.5	180	50	180	ambiguous	0.25	1
2	11	421	0.25	180	50	0	low	0	1
2	12	290	0.5	47	50	0	ambiguous	0.25	0
2	13	540	0.125	91	50	0	low	0	0
2	14	71	0.5	91	50	0	ambiguous	0.5	0
2	15	184	0.5	647	50	0	ambiguous	0.25	0
2	16	236	0.5	649	50	649	ambiguous	0.5	1
2	17	364	0.375	336	50	0	low	0	1
2	18	241	0.375	91	50	0	low	0	1
2	19	62	0.375	96	50	50	low	0	0
2	20	456	0.25	649	50	50	low	0	0
2	21	653	0.5	91	50	0	ambiguous	0.75	1
2	22	282	0.25	184	50	50	low	0	0
2	23	42	0.125	49	50	0	low	0	0
2	24	52	0.125	181	50	0	low	0	0
2	25	443	0.125	180	50	0	low	0	0
2	26	353	0.25	181	50	181	low	0	1
2	27	265	0.375	48	50	0	low	0	0
2	28	245	0.5	647	50	0	ambiguous	0.5	1
2	29	286	0.125	647	50	0	low	0	0
2	30	198	0.25	336	50	0	low	0	0
2	31	76	0.5	49	50	0	ambiguous	0.5	0
2	32	261	0.5	340	50	0	ambiguous	0.25	1
2	33	166	0.5	99	50	50	ambiguous	0.5	0
2	34	333	0.125	336	50	0	low	0	0
2	35	99	0.125	340	50	0	low	0	0
2	36	255	0.5	647	50	0	ambiguous	0.25	0
2	37	257	0.5	647	50	0	ambiguous	0.75	1
2	38	199	0.375	184	50	0	low	0	1
2	39	118	0.375	49	50	0	low	0	0
2	40	233	0.5	180	50	50	ambiguous	0.5	0
2	41	49	0.5	49	50	49	ambiguous	0.25	1
2	42	102	0.25	48	50	0	low	0	0
2	43	512	0.5	181	50	181	ambiguous	0.75	1
2	44	20	0.125	336	50	50	low	0	0
2	45	198	0.5	48	50	50	ambiguous	0.5	0
2	46	201	0.25	340	50	50	low	0	0
2	47	17	0.5	96	50	96	ambiguous	0.5	1
2	48	74	0.25	47	50	50	low	0	0
2	49	211	0.25	99	50	50	low	0	0
2	50	109	0.5	49	50	0	ambiguous	0.75	0
2	51	410	0.125	649	50	50	low	0	0
2	52	304	0.5	649	50	50	ambiguous	0.25	0
2	53	220	0.25	91	50	0	low	0	0
2	54	21	0.5	336	50	50	ambiguous	0.75	0
2	55	271	0.5	48	50	0	ambiguous	0.75	0
2	56	1458	0.125	99	50	50	low	0	0
2	57	254	0.25	49	50	50	low	0	0
2	58	216	0.5	340	50	0	ambiguous	0.75	1
2	59	241	0.375	647	50	0	low	0	1
2	60	21	0.5	647	50	0	ambiguous	0.75	1
2	61	8	0.5	340	50	340	ambiguous	0.5	1
2	62	168	0.5	336	50	0	ambiguous	0.5	1
2	63	387	0.5	184	50	50	ambiguous	0.5	0
2	64	266	0.375	99	50	0	low	0	0
2	65	277	0.5	91	50	0	ambiguous	0.25	0
2	66	350	0.5	647	50	0	ambiguous	0.5	0
2	67	358	0.5	47	50	0	ambiguous	0.5	0
2	68	407	0.5	184	50	0	ambiguous	0.25	0
2	69	5	0.125	647	50	50	low	0	0
2	70	369	0.125	48	50	50	low	0	0
2	71	175	0.375	649	50	649	low	0	1
2	72	650	0.25	647	50	50	low	0	0
2	73	459	0.5	336	50	0	ambiguous	0.5	1
2	74	129	0.5	96	50	0	ambiguous	0.75	0
2	75	443	0.125	96	50	50	low	0	0
2	76	398	0.375	340	50	50	low	0	0
2	77	105	0.5	99	50	0	ambiguous	0.25	1
2	78	239	0.125	47	50	0	low	0	0
2	79	76	0.5	48	50	50	ambiguous	0.25	0
2	80	198	0.25	336	50	336	low	0	1
2	81	186	0.5	649	50	649	ambiguous	0.75	1
2	82	130	0.5	181	50	0	ambiguous	0.25	1
2	83	211	0.5	336	50	336	ambiguous	0.75	1
2	84	231	0.5	180	50	50	ambiguous	0.75	0
2	85	75	0.5	181	50	0	ambiguous	0.5	1
2	86	41	0.375	47	50	50	low	0	0
2	87	406	0.125	184	50	0	low	0	1
2	88	367	0.25	96	50	0	low	0	1
2	89	100	0.5	336	50	336	ambiguous	0.25	1
2	90	967	0.375	336	50	0	low	0	0
3	1	2755	0.5	341	50	0	ambiguous	0.25	1
3	2	1695	0.125	183	50	0	low	0	1
