subjID	trial	delay_later	amount_later	delay_sooner	amount_sooner	choice
1	1	6	10.5	0	10	1
1	2	170	38.3	0	10	1
1	3	28	13.4	0	10	1
1	4	28	31.4	0	10	1
1	5	85	30.9	0	10	1
1	6	28	21.1	0	10	1
1	7	28	13	0	10	1
1	8	1	21.3	0	10	1
1	9	28	21.1	0	10	1
1	10	15	30.1	0	10	1
1	11	1	10.7	0	10	1
1	12	85	36.1	0	10	1
1	13	15	10.5	0	10	1
1	14	6	16.7	0	10	1
1	15	1	11	0	10	1
1	16	15	14.2	0	10	1
1	17	15	12.5	0	10	1
1	18	15	20.7	0	10	1
1	19	6	11	0	10	0
1	20	28	16.9	0	10	1
1	21	15	30.1	0	10	1
1	22	85	24.4	0	10	1
1	23	170	41.3	0	10	1
1	24	15	14.2	0	10	1
1	25	6	10.5	0	10	1
1	26	170	24.4	0	10	1
1	27	15	49	0	10	1
1	28	170	29.7	0	10	1
1	29	1	11.8	0	10	0
1	30	6	13.2	0	10	0
1	31	85	30.9	0	10	1
1	32	6	44	0	10	1
1	33	6	35.1	0	10	1
1	34	28	15.5	0	10	1
1	35	170	43.3	0	10	1
1	36	170	33.9	0	10	1
1	37	1	11	0	10	1
1	38	1	21.3	0	10	1
1	39	85	45	0	10	1
1	40	15	39.6	0	10	1
1	41	85	10.5	0	10	0
1	42	170	15	0	10	1
1	43	170	49.8	0	10	1
1	44	170	24.4	0	10	1
1	45	28	13.4	0	10	1
1	46	1	31.6	0	10	1
1	47	170	35.6	0	10	1
1	48	1	41.9	0	10	1
1	49	6	17.4	0	10	1
1	50	85	18.4	0	10	1
1	51	85	27.3	0	10	1
1	52	85	26	0	10	1
1	53	170	38.3	0	10	1
1	54	28	21.7	0	10	1
1	55	1	10.7	0	10	1
1	56	170	49.8	0	10	1
1	57	1	11.2	0	10	1
1	58	15	20.7	0	10	1
1	59	6	44	0	10	1
1	60	28	41.1	0	10	1
1	61	28	16.9	0	10	1
1	62	6	14	0	10	1
1	63	1	31.6	0	10	1
1	64	15	18.6	0	10	1
1	65	28	12	0	10	1
1	66	6	13.2	0	10	1
1	67	170	43.3	0	10	1
1	68	28	31.4	0	10	1
1	69	85	19.5	0	10	1
1	70	170	35.6	0	10	1
1	71	85	18.4	0	10	1
1	72	1	12.5	0	10	1
1	73	170	41.3	0	10	1
1	74	170	15	0	10	0
1	75	28	12	0	10	0
1	76	85	36.1	0	10	1
1	77	1	18	0	10	1
1	78	85	10.5	0	10	0
1	79	170	33.9	0	10	1
1	80	6	26.3	0	10	1
1	81	85	45	0	10	1
1	82	28	21.7	0	10	1
1	83	28	13	0	10	0
1	84	85	27.3	0	10	1
1	85	15	18.6	0	10	1
1	86	15	12.5	0	10	1
1	87	6	26.3	0	10	1
1	88	6	11	0	10	1
1	89	15	10.7	0	10	0
1	90	6	16.7	0	10	1
1	91	28	41.1	0	10	1
1	92	85	26	0	10	1
1	93	85	24.4	0	10	1
1	94	1	12.5	0	10	1
1	95	6	17.4	0	10	1
1	96	6	35.1	0	10	1
1	97	6	14	0	10	1
1	98	15	10.5	0	10	0
1	99	1	11.8	0	10	1
1	100	15	10.7	0	10	1
1	101	15	39.6	0	10	1
1	102	85	19.5	0	10	1
1	103	1	11.2	0	10	1
1	104	170	29.7	0	10	1
1	105	15	49	0	10	1
1	106	1	41.9	0	10	1
1	107	1	18	0	10	1
1	108	28	15.5	0	10	1
2	1	1	11.8	0	10	0
2	2	170	35.6	0	10	0
2	3	85	10.5	0	10	0
2	4	28	21.1	0	10	1
2	5	28	13	0	10	0
2	6	6	10.5	0	10	0
2	7	15	10.5	0	10	0
2	8	6	17.4	0	10	1
2	9	85	26	0	10	1
2	10	6	35.1	0	10	1
2	11	28	21.7	0	10	1
2	12	6	14	0	10	1
2	13	15	14.2	0	10	0
2	14	1	12.5	0	10	1
2	15	170	38.3	0	10	0
2	16	1	18	0	10	1
2	17	15	39.6	0	10	1
2	18	85	18.4	0	10	0
2	19	28	21.1	0	10	0
2	20	85	19.5	0	10	0
2	21	6	11	0	10	1
2	22	85	30.9	0	10	1
2	23	1	10.7	0	10	1
2	24	28	16.9	0	10	0
2	25	170	29.7	0	10	1
2	26	170	43.3	0	10	0
2	27	6	14	0	10	1
2	28	6	11	0	10	1
2	29	28	41.1	0	10	1
2	30	1	31.6	0	10	1
2	31	15	18.6	0	10	1
2	32	15	14.2	0	10	1
2	33	28	12	0	10	0
2	34	1	21.3	0	10	1
2	35	85	36.1	0	10	1
2	36	85	26	0	10	1
2	37	15	49	0	10	1
2	38	1	41.9	0	10	1
2	39	1	21.3	0	10	1
2	40	170	41.3	0	10	0
2	41	170	43.3	0	10	0
2	42	15	18.6	0	10	1
2	43	15	49	0	10	1
2	44	170	15	0	10	0
2	45	85	24.4	0	10	1
2	46	15	30.1	0	10	1
2	47	85	18.4	0	10	0
2	48	170	41.3	0	10	0
2	49	28	41.1	0	10	1
2	50	28	31.4	0	10	1
2	51	6	35.1	0	10	1
2	52	1	11.2	0	10	0
2	53	170	33.9	0	10	0
2	54	28	15.5	0	10	0
2	55	1	18	0	10	1
2	56	15	10.7	0	10	0
2	57	85	45	0	10	1
2	58	85	19.5	0	10	0
2	59	6	44	0	10	1
2	60	85	30.9	0	10	0
2	61	1	11	0	10	0
2	62	170	35.6	0	10	1
2	63	170	29.7	0	10	0
2	64	6	16.7	0	10	1
2	65	28	15.5	0	10	0
2	66	6	44	0	10	1
2	67	85	10.5	0	10	0
2	68	85	45	0	10	1
2	69	1	11	0	10	0
2	70	15	10.5	0	10	0
2	71	170	49.8	0	10	0
2	72	15	20.7	0	10	0
2	73	6	13.2	0	10	1
2	74	15	12.5	0	10	1
2	75	28	13	0	10	1
2	76	1	10.7	0	10	1
2	77	28	13.4	0	10	1
2	78	15	39.6	0	10	1
2	79	15	20.7	0	10	1
2	80	1	11.2	0	10	1
2	81	85	24.4	0	10	1
2	82	1	12.5	0	10	0
2	83	170	49.8	0	10	1
2	84	170	33.9	0	10	1
2	85	85	27.3	0	10	0
2	86	170	24.4	0	10	0
2	87	15	10.7	0	10	0
2	88	6	16.7	0	10	1
2	89	1	11.8	0	10	0
2	90	6	10.5	0	10	0
2	91	28	12	0	10	0
2	92	6	17.4	0	10	1
2	93	28	16.9	0	10	0
2	94	28	13.4	0	10	1
2	95	1	31.6	0	10	1
2	96	85	36.1	0	10	1
2	97	15	30.1	0	10	0
2	98	170	15	0	10	0
2	99	85	27.3	0	10	0
2	100	170	38.3	0	10	0
2	101	15	12.5	0	10	0
2	102	6	26.3	0	10	1
2	103	1	41.9	0	10	1
2	104	6	13.2	0	10	1
2	105	28	21.7	0	10	0
2	106	170	24.4	0	10	0
2	107	28	31.4	0	10	0
2	108	6	26.3	0	10	1
3	1	28	16.9	0	10	0
3	2	1	21.3	0	10	1
3	3	6	44	0	10	1
3	4	170	49.8	0	10	1
3	5	28	13.4	0	10	1
3	6	28	21.1	0	10	1
3	7	15	14.2	0	10	1
3	8	6	26.3	0	10	1
3	9	85	24.4	0	10	0
3	10	170	41.3	0	10	1
3	11	28	12	0	10	0
3	12	15	39.6	0	10	1
3	13	85	30.9	0	10	1
3	14	28	31.4	0	10	1
3	15	85	10.5	0	10	1
3	16	1	10.7	0	10	1
3	17	28	31.4	0	10	1
3	18	6	26.3	0	10	1
3	19	1	41.9	0	10	1
3	20	6	13.2	0	10	0
3	21	28	41.1	0	10	1
3	22	15	12.5	0	10	1
3	23	15	39.6	0	10	1
3	24	85	10.5	0	10	0
3	25	28	12	0	10	1
3	26	170	38.3	0	10	1
3	27	85	36.1	0	10	1
3	28	1	41.9	0	10	1
3	29	15	10.5	0	10	0
3	30	85	19.5	0	10	0
3	31	85	26	0	10	1
3	32	85	45	0	10	1
3	33	1	12.5	0	10	1
3	34	6	13.2	0	10	1
3	35	15	10.7	0	10	1
3	36	1	11	0	10	1
3	37	15	30.1	0	10	0
3	38	15	20.7	0	10	1
3	39	6	17.4	0	10	1
3	40	6	10.5	0	10	0
3	41	170	15	0	10	1
3	42	15	12.5	0	10	1
3	43	1	31.6	0	10	1
3	44	15	10.5	0	10	0
3	45	170	41.3	0	10	1
3	46	170	15	0	10	0
3	47	15	18.6	0	10	1
3	48	6	17.4	0	10	1
3	49	85	18.4	0	10	0
3	50	170	43.3	0	10	1
3	51	28	21.7	0	10	0
3	52	6	16.7	0	10	0
3	53	170	33.9	0	10	0
3	54	1	18	0	10	1
3	55	1	18	0	10	1
3	56	15	30.1	0	10	1
3	57	1	10.7	0	10	0
3	58	85	27.3	0	10	1
3	59	6	35.1	0	10	1
3	60	85	30.9	0	10	1
3	61	85	24.4	0	10	1
3	62	85	19.5	0	10	0
3	63	170	33.9	0	10	1
3	64	6	10.5	0	10	0
3	65	85	27.3	0	10	1
3	66	28	16.9	0	10	0
3	67	6	35.1	0	10	1
3	68	15	49	0	10	1
3	69	85	26	0	10	1
3	70	85	45	0	10	1
3	71	1	11.8	0	10	1
3	72	170	35.6	0	10	1
3	73	1	31.6	0	10	1
3	74	28	13	0	10	0
3	75	28	21.1	0	10	1
3	76	15	20.7	0	10	1
3	77	15	10.7	0	10	0
3	78	28	15.5	0	10	0
3	79	1	21.3	0	10	1
3	80	6	14	0	10	1
3	81	170	49.8	0	10	1
3	82	85	36.1	0	10	1
3	83	1	11.2	0	10	0
3	84	28	15.5	0	10	0
3	85	170	29.7	0	10	1
3	86	170	24.4	0	10	1
3	87	170	24.4	0	10	1
3	88	28	13.4	0	10	0
3	89	15	18.6	0	10	1
3	90	28	21.7	0	10	1
3	91	85	18.4	0	10	1
3	92	6	16.7	0	10	1
3	93	6	11	0	10	1
3	94	28	41.1	0	10	1
3	95	170	43.3	0	10	1
3	96	6	44	0	10	1
3	97	1	11.2	0	10	1
3	98	6	11	0	10	1
3	99	170	35.6	0	10	1
3	100	15	49	0	10	1
3	101	170	38.3	0	10	1
3	102	28	13	0	10	0
3	103	170	29.7	0	10	1
3	104	1	12.5	0	10	1
3	105	1	11	0	10	1
3	106	1	11.8	0	10	1
3	107	6	14	0	10	0
3	108	15	14.2	0	10	1
4	1	170	41.3	0	10	1
4	2	170	38.3	0	10	1
4	3	28	21.1	0	10	1
4	4	15	20.7	0	10	1
4	5	85	45	0	10	1
4	6	85	45	0	10	1
4	7	28	21.7	0	10	1
4	8	1	11.2	0	10	1
4	9	170	49.8	0	10	1
4	10	6	14	0	10	0
4	11	28	21.7	0	10	1
4	12	1	11.2	0	10	1
4	13	1	31.6	0	10	1
4	14	6	10.5	0	10	1
4	15	1	21.3	0	10	1
4	16	170	43.3	0	10	1
4	17	1	18	0	10	1
4	18	15	10.5	0	10	0
4	19	15	20.7	0	10	1
4	20	15	39.6	0	10	1
4	21	170	33.9	0	10	1
4	22	1	21.3	0	10	1
