trial	choice	gain	loss	subjID
1	3	50	0	1001
2	2	100	0	1001
3	3	50	0	1001
4	4	50	0	1001
5	4	50	0	1001
6	4	50	0	1001
7	4	50	0	1001
8	3	50	-50	1001
9	4	50	0	1001
10	4	50	0	1001
11	3	50	0	1001
12	4	50	0	1001
13	4	50	0	1001
14	4	50	0	1001
15	4	50	-250	1001
16	4	50	0	1001
17	2	100	0	1001
18	4	50	0	1001
19	1	100	0	1001
20	2	100	0	1001
21	2	100	0	1001
22	2	100	0	1001
23	3	50	-50	1001
24	2	100	0	1001
25	4	50	0	1001
26	1	100	0	1001
27	1	100	-150	1001
28	2	100	0	1001
29	2	100	0	1001
30	2	100	-1250	1001
31	1	100	0	1001
32	4	50	0	1001
33	1	100	-300	1001
34	4	50	0	1001
35	1	100	0	1001
36	4	50	0	1001
37	1	100	-200	1001
38	2	100	0	1001
39	1	100	0	1001
40	4	50	0	1001
41	4	50	0	1001
42	2	100	0	1001
43	4	50	0	1001
44	4	50	-250	1001
45	4	50	0	1001
46	2	100	0	1001
47	4	50	0	1001
48	1	100	-250	1001
49	4	50	0	1001
50	4	50	0	1001
51	4	50	0	1001
52	3	50	0	1001
53	3	50	-50	1001
54	3	50	0	1001
55	3	50	-50	1001
56	3	50	-50	1001
57	2	100	0	1001
58	2	100	-1250	1001
59	4	50	0	1001
60	4	50	0	1001
61	4	50	0	1001
62	4	50	-250	1001
63	4	50	0	1001
64	4	50	0	1001
65	3	50	0	1001
66	3	50	-25	1001
67	3	50	-75	1001
68	4	50	0	1001
69	4	50	0	1001
70	4	50	0	1001
71	4	50	-250	1001
72	4	50	0	1001
73	4	50	0	1001
74	4	50	0	1001
75	4	50	0	1001
76	4	50	0	1001
77	4	50	0	1001
78	3	50	0	1001
79	4	50	0	1001
80	4	50	0	1001
81	4	50	0	1001
82	4	50	0	1001
83	4	50	0	1001
84	4	50	0	1001
85	4	50	0	1001
86	4	50	0	1001
87	4	50	-250	1001
88	4	50	0	1001
89	4	50	0	1001
90	4	50	0	1001
91	4	50	0	1001
92	4	50	0	1001
93	4	50	0	1001
94	4	50	0	1001
95	4	50	0	1001
96	4	50	0	1001
97	4	50	-250	1001
98	4	50	0	1001
99	4	50	0	1001
100	4	50	0	1001
1	3	50	0	1002
2	3	50	0	1002
3	3	50	-50	1002
4	3	50	0	1002
5	3	50	-50	1002
6	1	100	0	1002
7	3	50	0	1002
8	2	100	0	1002
9	3	50	-50	1002
10	3	50	0	1002
11	4	50	0	1002
12	3	50	-50	1002
13	3	50	-50	1002
14	1	100	0	1002
15	1	100	-150	1002
16	3	50	0	1002
17	4	50	0	1002
18	4	50	0	1002
19	4	50	0	1002
20	4	50	0	1002
21	4	50	0	1002
22	3	50	-25	1002
23	4	50	0	1002
24	4	50	0	1002
25	3	50	-75	1002
26	3	50	0	1002
27	4	50	0	1002
28	4	50	-250	1002
29	4	50	0	1002
30	4	50	0	1002
31	4	50	0	1002
32	4	50	0	1002
33	4	50	0	1002
34	4	50	0	1002
35	4	50	0	1002
36	4	50	0	1002
37	4	50	0	1002
38	4	50	-250	1002
39	1	100	0	1002
40	3	50	0	1002
41	3	50	0	1002
42	3	50	-25	1002
43	3	50	-75	1002
44	1	100	-300	1002
45	1	100	0	1002
46	3	50	0	1002
47	4	50	0	1002
48	4	50	0	1002
49	4	50	0	1002
50	4	50	0	1002
51	4	50	0	1002
52	4	50	0	1002
53	4	50	0	1002
