"trial"	"condition"	"p_gamble"	"risky_Lpayoff"	"risky_Hpayoff"	"safe_Lpayoff"	"safe_Hpayoff"	"risky_color"	"total_presses"	"choice"	"bonus"	"subjID"
1	1	0.8	0.9	38.6	18	19.6	"orange"	1	1	0.25	1
2	1	0.5	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
3	1	0.8	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
4	3	0.5	0.9	38.6	18	19.6	"orange"	1	1	0.25	1
5	2	0.6	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
6	3	0.8	0.9	38.6	18	19.6	"orange"	1	1	0.25	1
7	3	0.7	0.9	38.6	18	19.6	"orange"	1	1	0.25	1
8	0	0.6	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
9	1	0.4	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
10	1	0.4	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
11	0	0.5	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
12	0	0.5	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
13	1	0.7	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
14	3	0.5	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
15	2	0.5	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
16	2	0.4	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
17	2	0.6	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
18	1	0.8	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
19	0	0.7	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
20	0	0.6	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
21	3	0.9	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
22	1	0.6	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
23	0	0.7	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
24	3	0.6	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
25	3	0.4	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
26	1	0.5	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
27	2	0.5	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
28	1	0.6	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
29	1	0.9	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
30	2	0.8	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
31	2	0.8	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
32	3	0.6	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
33	0	0.8	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
34	0	0.7	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
35	0	0.4	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
36	2	0.9	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
37	3	0.8	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
38	0	0.6	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
39	2	0.6	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
40	2	0.4	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
41	0	0.4	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
42	0	0.9	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
43	1	0.5	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
44	1	0.7	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
45	3	0.7	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
46	0	0.8	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
47	2	0.4	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
48	1	0.9	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
49	1	0.4	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
50	1	0.6	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
51	3	0.5	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
52	3	0.4	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
53	3	0.4	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
54	0	0.5	0.9	38.6	18	19.6	"orange"	1	1	0.25	1
55	1	0.7	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
56	2	0.5	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
57	2	0.7	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
58	2	0.9	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
59	2	0.9	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
60	2	0.7	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
61	3	0.9	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
62	0	0.9	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
63	1	0.9	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
64	3	0.8	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
65	0	0.4	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	1
66	0	0.9	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
67	3	0.9	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
68	2	0.8	1.3	50.8	24.9	25.5	"orange"	1	0	0.25	1
69	0	0.8	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	1
70	3	0.7	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
71	2	0.7	0.9	38.6	18	19.6	"orange"	1	0	0.25	1
72	3	0.6	1.7	56.8	23.1	33.2	"orange"	1	1	0.25	1
1	1	0.7	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
2	1	0.6	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
3	3	0.7	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
4	1	0.5	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
5	1	0.5	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
6	3	0.9	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
7	3	0.5	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
8	3	0.5	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
9	0	0.8	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
10	2	0.5	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
11	2	0.5	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
12	0	0.4	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
13	0	0.5	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
14	3	0.8	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
15	0	0.9	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
16	1	0.4	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
17	0	0.4	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
18	2	0.4	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
19	0	0.5	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
20	3	0.9	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
21	1	0.8	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
22	2	0.8	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
23	1	0.6	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
24	0	0.6	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
25	0	0.7	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
26	0	0.4	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
27	2	0.6	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
28	1	0.4	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
29	3	0.4	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
30	3	0.4	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
31	0	0.8	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
32	1	0.9	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
33	2	0.8	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
34	1	0.8	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
35	2	0.7	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
36	1	0.7	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
37	3	0.9	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
38	2	0.7	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
39	0	0.8	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
40	1	0.6	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
41	0	0.5	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
42	1	0.4	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
43	0	0.9	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
44	2	0.8	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
45	3	0.7	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
46	1	0.9	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
47	3	0.6	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
48	0	0.6	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
49	2	0.5	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
50	1	0.5	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
51	3	0.4	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
52	2	0.6	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
53	1	0.8	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
54	2	0.6	1.7	56.8	23.1	33.2	"orange"	1	0	2.68	2
55	2	0.7	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
56	3	0.6	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
57	2	0.9	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
58	2	0.9	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
59	1	0.9	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
60	2	0.4	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
61	3	0.8	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
62	0	0.9	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
63	0	0.7	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
64	3	0.8	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
65	2	0.9	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
66	3	0.7	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
67	0	0.7	1.3	50.8	24.9	25.5	"orange"	1	1	2.68	2
68	2	0.4	1.2	51.1	23	24.4	"orange"	1	0	2.68	2
69	0	0.6	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
70	1	0.7	1.3	50.8	24.9	25.5	"orange"	1	0	2.68	2
71	3	0.5	1.2	51.1	23	24.4	"orange"	1	1	2.68	2
72	3	0.6	1.7	56.8	23.1	33.2	"orange"	1	1	2.68	2
1	0	0.8	1.2	51.1	23	24.4	"orange"	2	0	0.25	3
2	1	0.5	1.7	56.8	23.1	33.2	"orange"	1	0	0.25	3
3	1	0.4	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	3
4	2	0.6	1.3	50.8	24.9	25.5	"orange"	1	1	0.25	3
