gain	loss	cert	gamble	outcome	cond	subjID
9	-11.25	0	1	9	1	1
8	-16	0	0	0	1	1
9	-5.63	0	1	-5.63	1	1
9	-4.5	0	1	9	1	1
2	-2	0	1	2	1	1
12	-19.5	0	0	0	1	1
4	-4.5	0	1	4	1	1
2	-3.75	0	1	-3.75	1	1
2	-2.25	0	0	0	1	1
12	-4.5	0	1	-4.5	1	1
9	-10.13	0	0	0	1	1
12	-3	0	1	12	1	1
10	-17.5	0	0	0	1	1
5	-4.38	0	1	-4.38	1	1
5	-7.5	0	0	0	1	1
6	-11.25	0	0	0	1	1
2	-1.5	0	1	-1.5	1	1
9	-6.75	0	1	-6.75	1	1
4	-7	0	0	0	1	1
8	-7	0	1	8	1	1
2	-1.75	0	1	2	1	1
2	-1	0	1	2	1	1
10	-6.25	0	1	-6.25	1	1
6	-6.75	0	0	0	1	1
9	-2.25	0	1	-2.25	1	1
2	-0.75	0	1	2	1	1
12	0	4	1	12	1	1
6	-3	0	1	-3	1	1
3	0	1	1	3	1	1
2	-3	0	0	0	1	1
10	-13.75	0	1	-13.75	1	1
6	-2.25	0	1	6	1	1
5	-1.88	0	1	-1.88	1	1
12	-13.5	0	1	12	1	1
22	0	10	1	22	1	1
9	-12.38	0	0	0	1	1
26	0	10	1	26	1	1
12	-10.5	0	1	-10.5	1	1
10	-2.5	0	1	-2.5	1	1
25	0	10	1	25	1	1
9	-15.75	0	1	9	1	1
7	0	3	1	0	1	1
10	-10	0	1	10	1	1
12	-15	0	0	0	1	1
12	0	6	1	0	1	1
6	-4.5	0	1	-4.5	1	1
8	-13	0	0	0	1	1
10	-16.25	0	0	0	1	1
5	-1.25	0	1	5	1	1
4	-4	0	1	4	1	1
5	-3.75	0	1	5	1	1
6	-8.25	0	0	0	1	1
8	-15	0	0	0	1	1
8	-8	0	1	-8	1	1
2	-2.75	0	1	-2.75	1	1
6	-12	0	0	0	1	1
2	0	1	1	2	1	1
2	-1.25	0	1	-1.25	1	1
9	-18	0	0	0	1	1
6	-9	0	1	-9	1	1
10	-8.75	0	1	-8.75	1	1
4	-7.5	0	0	0	1	1
13	0	6	1	0	1	1
10	-11.25	0	0	0	1	1
4	-3	0	1	4	1	1
10	-5	0	1	10	1	1
8	-2	0	1	-2	1	1
4	-2.5	0	0	0	1	1
2	-3.5	0	0	0	1	1
2	-2.5	0	1	2	1	1
6	-3.75	0	0	0	1	1
8	-3	0	1	8	1	1
2	-3.25	0	0	0	1	1
8	-9	0	0	0	1	1
6	-6	0	0	0	1	1
8	-11	0	0	0	1	1
5	-8.75	0	0	0	1	1
6	-9.75	0	0	0	1	1
12	-24	0	0	0	1	1
4	-6.5	0	0	0	1	1
5	-10	0	0	0	1	1
30	0	12	1	0	1	1
12	-18	0	0	0	1	1
9	-9	0	0	0	1	1
5	-5	0	1	-5	1	1
5	-9.38	0	0	0	1	1
10	-12.5	0	0	0	1	1
10	-18.75	0	0	0	1	1
5	-2.5	0	1	-2.5	1	1
9	-14.63	0	0	0	1	1
28	0	13	1	0	1	1
5	-6.88	0	0	0	1	1
4	-3.5	0	0	0	1	1
12	-16.5	0	0	0	1	1
5	-8.13	0	0	0	1	1
9	-16.88	0	0	0	1	1
9	-3.38	0	1	-3.38	1	1
12	0	5	1	0	1	1
4	-8	0	0	0	1	1
8	-12	0	0	0	1	1
8	-4	0	0	0	1	1
2	-4	0	0	0	1	1
12	-9	0	1	-9	1	1
4	-1.5	0	1	4	1	1
6	-10.5	0	0	0	1	1
5	-3.13	0	1	5	1	1
10	-15	0	0	0	1	1
23	0	10	0	10	1	1
12	-7.5	0	1	-7.5	1	1
2	-0.5	0	1	-0.5	1	1
4	0	2	0	2	1	1
6	-1.5	0	1	-1.5	1	1
4	-1	0	1	4	1	1
10	-20	0	0	0	1	1
12	-22.5	0	0	0	1	1
25	0	9	1	0	1	1
13	0	5	0	5	1	1
6	-5.25	0	0	0	1	1
9	-13.5	0	0	0	1	1
5	0	2	0	2	1	1
12	-6	0	1	-6	1	1
5	-6.25	0	0	0	1	1
10	-3.75	0	1	10	1	1
9	-7.88	0	0	0	1	1
8	-6	0	0	0	1	1
4	-5.5	0	0	0	1	1
19	0	8	0	8	1	1
10	-7.5	0	0	0	1	1
4	-6	0	0	0	1	1
8	0	3	0	3	1	1
12	-21	0	0	0	1	1
4	-2	0	0	0	1	1
4	-5	0	0	0	1	1
12	-12	0	0	0	1	1
8	-5	0	1	-5	1	1
26	0	12	1	0	1	1
