"choice"	"outcome"	"subjID"	"trial"
1	0	1	1
1	1	1	2
4	1	1	3
1	1	1	4
2	1	1	5
3	1	1	6
4	1	1	7
1	1	1	8
2	1	1	9
3	1	1	10
4	1	1	11
1	1	1	12
4	0	1	13
3	0	1	14
1	1	1	15
4	1	1	16
2	1	1	17
4	1	1	18
1	1	1	19
4	1	1	20
2	1	1	21
3	1	1	22
2	1	1	23
1	1	1	24
2	0	1	25
2	1	1	26
3	1	1	27
4	1	1	28
2	1	1	29
1	1	1	30
4	1	1	31
1	1	1	32
3	1	1	33
4	1	1	34
1	1	1	35
4	0	1	36
2	0	1	37
3	1	1	38
1	0	1	39
4	1	1	40
1	1	1	41
3	0	1	42
4	0	1	43
2	1	1	44
1	1	1	45
3	1	1	46
4	1	1	47
3	1	1	48
2	1	1	49
3	1	1	50
4	1	1	51
2	1	1	52
1	1	1	53
2	0	1	54
4	0	1	55
2	0	1	56
1	0	1	57
3	0	1	58
3	1	1	59
2	0	1	60
4	0	1	61
3	1	1	62
1	1	1	63
3	1	1	64
1	1	1	65
3	1	1	66
1	1	1	67
4	1	1	68
2	1	1	69
3	1	1	70
1	1	1	71
3	1	1	72
3	0	1	73
2	1	1	74
1	1	1	75
3	1	1	76
2	1	1	77
1	1	1	78
3	1	1	79
4	1	1	80
2	1	1	81
3	1	1	82
4	1	1	83
1	0	2	1
1	1	2	2
1	0	2	3
1	1	2	4
2	1	2	5
3	1	2	6
4	1	2	7
1	1	2	8
2	1	2	9
3	1	2	10
4	1	2	11
1	1	2	12
3	0	2	13
3	1	2	14
2	1	2	15
4	1	2	16
1	1	2	17
3	1	2	18
1	1	2	19
3	1	2	20
4	1	2	21
2	1	2	22
3	1	2	23
4	0	2	24
1	0	2	25
3	0	2	26
4	0	2	27
1	0	2	28
2	1	2	29
3	1	2	30
4	1	2	31
1	0	2	32
3	0	2	33
3	1	2	34
2	1	2	35
4	0	2	36
4	1	2	37
3	0	2	38
4	1	2	39
3	1	2	40
1	1	2	41
4	0	2	42
3	0	2	43
1	1	2	44
2	1	2	45
3	1	2	46
4	1	2	47
1	1	2	48
2	0	2	49
2	1	2	50
1	1	2	51
2	1	2	52
4	1	2	53
2	0	2	54
3	1	2	55
4	1	2	56
3	1	2	57
1	1	2	58
3	1	2	59
4	1	2	60
2	1	2	61
3	1	2	62
1	1	2	63
3	1	2	64
2	0	2	65
3	0	2	66
1	0	2	67
4	0	2	68
2	0	2	69
3	0	2	70
4	1	2	71
3	1	2	72
3	0	2	73
4	0	2	74
2	0	2	75
3	1	2	76
4	0	2	77
1	1	2	78
1	0	2	79
4	1	2	80
2	1	2	81
3	1	2	82
4	1	2	83
1	1	2	84
4	0	2	85
3	1	2	86
2	1	2	87
4	0	2	88
1	0	2	89
3	0	2	90
4	0	2	91
1	0	2	92
2	1	2	93
1	1	2	94
4	1	2	95
1	1	2	96
4	0	2	97
3	0	2	98
2	0	2	99
3	0	2	100
4	0	2	101
3	1	2	102
2	0	2	103
3	0	2	104
1	1	2	105
4	0	2	106
3	0	2	107
1	0	2	108
1	0	2	109
3	0	2	110
4	0	2	111
3	1	2	112
3	0	2	113
2	0	2	114
1	1	2	115
2	0	2	116
1	0	2	117
1	0	2	118
3	0	2	119
4	0	2	120
3	0	2	121
3	0	2	122
3	1	2	123
4	0	2	124
2	0	2	125
3	1	2	126
1	0	2	127
3	0	2	128
1	0	3	1
1	1	3	2
4	1	3	3
1	1	3	4
2	1	3	5
3	1	3	6
4	1	3	7
1	1	3	8
2	1	3	9
3	1	3	10
4	1	3	11
1	1	3	12
4	0	3	13
3	0	3	14
2	0	3	15
4	1	3	16
1	0	3	17
3	0	3	18
1	1	3	19
3	0	3	20
4	0	3	21
3	1	3	22
2	1	3	23
1	1	3	24
4	0	3	25
1	1	3	26
3	1	3	27
4	1	3	28
2	1	3	29
3	1	3	30
4	1	3	31
2	1	3	32
4	1	3	33
3	1	3	34
1	0	3	35
4	0	3	36
2	0	3	37
3	0	3	38
1	0	3	39
4	0	3	40
1	1	3	41
3	0	3	42
4	1	3	43
2	0	3	44
3	0	3	45
3	1	3	46
4	1	3	47
3	0	3	48
2	0	3	49
3	0	3	50
4	0	3	51
2	1	3	52
1	0	3	53
2	0	3	54
4	0	3	55
2	0	3	56
1	0	3	57
1	1	3	58
3	1	3	59
4	1	3	60
2	1	3	61
3	1	3	62
1	1	3	63
3	1	3	64
1	1	3	65
3	1	3	66
1	1	3	67
1	1	3	68
2	0	3	69
1	1	3	70
4	1	3	71
1	0	3	72
4	1	3	73
2	1	3	74
1	1	3	75
3	1	3	76
2	1	3	77
1	1	3	78
3	1	3	79
4	1	3	80
2	1	3	81
3	1	3	82
4	0	3	83
1	0	3	84
4	1	3	85
2	1	3	86
3	1	3	87
4	1	3	88
1	1	3	89
3	1	3	90
4	1	3	91
1	1	3	92
2	1	3	93
1	1	3	94
2	0	3	95
1	0	3	96
4	1	3	97
3	1	3	98
2	1	3	99
1	1	3	100
4	1	3	101
2	1	3	102
4	1	3	103
3	1	3	104
1	1	3	105
2	1	3	106
3	0	3	107
2	1	3	108
2	0	3	109
2	1	3	110
1	1	3	111
3	1	3	112
2	1	3	113
4	1	3	114
1	1	3	115
3	1	3	116
2	1	3	117
4	1	3	118
1	1	3	119
1	0	4	1
1	1	4	2
4	1	4	3
1	1	4	4
2	1	4	5
3	1	4	6
4	1	4	7
1	1	4	8
2	1	4	9
3	1	4	10
4	1	4	11
1	1	4	12
3	1	4	13
2	1	4	14
1	1	4	15
4	1	4	16
2	1	4	17
4	1	4	18
1	1	4	19
4	1	4	20
2	1	4	21
3	1	4	22
2	1	4	23
1	0	4	24
4	1	4	25
3	0	4	26
3	1	4	27
4	1	4	28
2	1	4	29
1	1	4	30
4	1	4	31
1	1	4	32
3	1	4	33
4	1	4	34
1	1	4	35
4	1	4	36
2	0	4	37
3	1	4	38
1	0	4	39
4	1	4	40
1	1	4	41
3	0	4	42
4	0	4	43
2	1	4	44
3	0	4	45
2	0	4	46
4	1	4	47
3	1	4	48
2	1	4	49
3	1	4	50
4	1	4	51
2	1	4	52
1	1	4	53
2	1	4	54
4	1	4	55
2	1	4	56
1	0	4	57
1	1	4	58
3	1	4	59
2	0	4	60
2	1	4	61
3	1	4	62
1	1	4	63
3	1	4	64
1	1	4	65
3	1	4	66
1	1	4	67
4	1	4	68
2	1	4	69
1	0	4	70
4	0	4	71
3	0	4	72
4	0	4	73
2	0	4	74
1	0	4	75
3	0	4	76
2	0	4	77
1	0	4	78
3	0	4	79
4	1	4	80
2	1	4	81
3	0	4	82
1	1	4	83
3	0	4	84
4	0	4	85
2	0	4	86
3	0	4	87
4	0	4	88
1	0	4	89
3	0	4	90
4	0	4	91
1	0	4	92
